trajectory_id,scene,case,source_path,source_relative_path,visual_relative_path,full_instruction,num_frames,num_steps,boundary_start_ok,boundary_contiguous,positive_intervals,terminal_match,step_text_count_match,hdf5_readable,state_action_length_match,state_time_monotonic,robot_qpos_prefix_verified,annotation_valid,invalid_reason,source_sha256,state_width,state_dtype,action_dim,action_dtype
coffee_table/case11,coffee_table,case11,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case11/demo.hdf5,RoboCerebra_trainset/coffee_table/case11/demo.hdf5,RoboCerebra_trainset/coffee_table/case11/case11.mp4,"Prepare a creative warming and mixing sequence by heating alphabet_soup in the microwave, mixing salad_dressing in a red_coffee_mug, and pouring wine onto a wooden_shelf, using objects like a coffee_table, microwave, red_coffee_mug, salad_dressing container, wine_bottle, and wooden_shelf.",5268,10,True,True,True,True,True,True,True,True,True,True,,16086d4721dcf552f99cebcf6aca8253c7256e2548cfbeb1fb07c54751d65b9b,86,float64,7,float64
coffee_table/case12,coffee_table,case12,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case12/demo.hdf5,RoboCerebra_trainset/coffee_table/case12/demo.hdf5,RoboCerebra_trainset/coffee_table/case12/case12.mp4,"Create a decorative sauced plate display by transferring a plate from the coffee table to a wooden tray and artistically adding ketchup, salad dressing, and BBQ sauce onto the plate.",3811,11,True,True,True,True,True,True,True,True,True,True,,b736b258f259a67f79cd6becabdb832a52f273bb7547dee43b398309c9ed79f7,97,float64,7,float64
coffee_table/case13,coffee_table,case13,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case13/demo.hdf5,RoboCerebra_trainset/coffee_table/case13/demo.hdf5,RoboCerebra_trainset/coffee_table/case13/case13.mp4,"The task involves a robotic arm simulating a cooking preparation process by retrieving items from storage, combining chocolate pudding into a white bowl, placing and activating a frypan on a stove, pouring wine into a red coffee mug, and returning the bottle to the cabinet.",4284,9,True,True,True,True,True,True,True,True,True,True,,b8e52302b0f05ed513bd8f36802287fd44272a338ff3d04510a9e9bd6fcd8c97,105,float64,7,float64
coffee_table/case14,coffee_table,case14,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case14/demo.hdf5,RoboCerebra_trainset/coffee_table/case14/demo.hdf5,RoboCerebra_trainset/coffee_table/case14/case14.mp4,"Use a robotic arm to organize kitchen items by placing milk in the short_fridge, cream_cheese in the akita_black_bowl, and a wine_bottle on the wooden_tray.",4303,7,True,True,True,True,True,True,True,True,True,True,,5b2769edba417eb98c35efa2557af79d392c70e9906b6381ac42a8f11d3995d4,99,float64,7,float64
coffee_table/case15,coffee_table,case15,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case15/demo.hdf5,RoboCerebra_trainset/coffee_table/case15/demo.hdf5,RoboCerebra_trainset/coffee_table/case15/case15.mp4,"Organize and prepare a food serving scene by relocating items (chocolate pudding, red coffee mug, wine bottle, chefmate frypan, macaroni and cheese) among the white storage box, rack, coffee table, and counter, while setting up the red coffee mug with wine.",3348,9,True,True,True,True,True,True,True,True,True,True,,e2db4bd86642bbc1480aa962d78a305b2db3f476d330b380f5b7d7c49dcf7038,110,float64,7,float64
coffee_table/case16,coffee_table,case16,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case16/demo.hdf5,RoboCerebra_trainset/coffee_table/case16/demo.hdf5,RoboCerebra_trainset/coffee_table/case16/case16.mp4,"The task involves using a robotic arm to organize items by placing popcorn into a short cabinet in the middle region, cream cheese into a white storage box in the top side, and a red coffee mug into a microwave in the heating region.",5249,8,True,True,True,True,True,True,True,True,True,True,,e03c482d0b5474c48b32544dd6f784cffda417063df8ac3caeedfc764314c9e1,79,float64,7,float64
coffee_table/case17,coffee_table,case17,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case17/demo.hdf5,RoboCerebra_trainset/coffee_table/case17/demo.hdf5,RoboCerebra_trainset/coffee_table/case17/case17.mp4,"The task involves arranging a snack setup by interacting with objects like the white_cabinet, coffee_table, white_bowl, microwave, porcelain_mug, and items such as butter, cookies, and new_salad_dressing to prepare and organize them for use.",2530,7,True,True,True,True,True,True,True,True,True,True,,3b602052104ceff4be9cdf34eb6853b24a4f8cbf6ce9476bd643451bb2876bd6,105,float64,7,float64
coffee_table/case18,coffee_table,case18,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case18/demo.hdf5,RoboCerebra_trainset/coffee_table/case18/demo.hdf5,RoboCerebra_trainset/coffee_table/case18/case18.mp4,"The task involves organizing food items (butter, tomato_sauce, salad_dressing) and tableware (glazed_rim_porcelain_ramekin, red_coffee_mug) by moving and placing them appropriately using storage furniture (wooden_cabinet, microwave) and the coffee_table for further processing.",4488,10,True,True,True,True,True,True,True,True,True,True,,6045b4295d6362a366268ced70a4decc386dd5945ae0f96aedfa9f7a8b627961,105,float64,7,float64
coffee_table/case19,coffee_table,case19,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case19/demo.hdf5,RoboCerebra_trainset/coffee_table/case19/demo.hdf5,RoboCerebra_trainset/coffee_table/case19/case19.mp4,"Heat chocolate pudding by pouring it into a moka pot retrieved from a wooden cabinet, placing the pot on a flat stove, and turning the stove on.",5259,9,True,True,True,True,True,True,True,True,True,True,,491a94155dfbe9fcb7a2977003c4bca4417c340014a4fa79eecc898238588171,66,float64,7,float64
coffee_table/case20,coffee_table,case20,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case20/demo.hdf5,RoboCerebra_trainset/coffee_table/case20/demo.hdf5,RoboCerebra_trainset/coffee_table/case20/case20.mp4,Arrange a snack of cookies and BBQ sauce on a plate from the coffee table and store a wine bottle in the top region of the wine rack.,2567,7,True,True,True,True,True,True,True,True,True,True,,2938cbbe4e0e8d6a56ab81e6af1189cac5784b3cddcd9ff9642dcb507c2935dd,84,float64,7,float64
coffee_table/case21,coffee_table,case21,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case21/demo.hdf5,RoboCerebra_trainset/coffee_table/case21/demo.hdf5,RoboCerebra_trainset/coffee_table/case21/case21.mp4,"The task involves preparing a dressed salad mixture by combining cream_cheese and new_salad_dressing using akita_black_bowl and white_yellow_mug, and arranging tableware by organizing items like a wine_bottle on a rack and relocating other objects between the coffee_table and short_cabinet.",2732,9,True,True,True,True,True,True,True,True,True,True,,42e5570cd6c120c88d76edf072c7a0f92cc22a9aea7ebdf3924f323be69c4a98,116,float64,7,float64
coffee_table/case22,coffee_table,case22,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case22/demo.hdf5,RoboCerebra_trainset/coffee_table/case22/demo.hdf5,RoboCerebra_trainset/coffee_table/case22/case22.mp4,"The task involves preparing a mixed ingredient bowl by retrieving a white bowl from a white cabinet, placing it on a coffee table, and adding cream cheese, ketchup, and wine from the coffee table into the bowl.",3414,12,True,True,True,True,True,True,True,True,True,True,,0ef741d71684f726a06e3cef98be5f6638559a6af14ba988693b0c3a87671a1b,90,float64,7,float64
coffee_table/case23,coffee_table,case23,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case23/demo.hdf5,RoboCerebra_trainset/coffee_table/case23/demo.hdf5,RoboCerebra_trainset/coffee_table/case23/case23.mp4,"Prepare a mixed beverage by combining milk and wine in a porcelain mug, using objects from the coffee table and short fridge.",2255,7,True,True,True,True,True,True,True,True,True,True,,f7656e2ab5a8151d3ef6feb4ca9dd6ba4428a9b4042c1d15dc431b2e8af70576,73,float64,7,float64
coffee_table/case24,coffee_table,case24,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case24/demo.hdf5,RoboCerebra_trainset/coffee_table/case24/demo.hdf5,RoboCerebra_trainset/coffee_table/case24/case24.mp4,"Prepare a drink by pouring wine into a white-yellow mug from a white cabinet and coffee table, and gather butter from a short cabinet to place on a counter while also picking up a frypan from the coffee table.",4362,9,True,True,True,True,True,True,True,True,True,True,,f46561ae0abc3bba851ae7bd8dad7cc6f48c5e526260e2768002a155548bb40e,96,float64,7,float64
coffee_table/case25,coffee_table,case25,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case25/demo.hdf5,RoboCerebra_trainset/coffee_table/case25/demo.hdf5,RoboCerebra_trainset/coffee_table/case25/case25.mp4,"Organize and store kitchen items by putting the porcelain mug into the top compartment of the white cabinet, placing the new salad dressing inside the opened bowl drainer, and interacting with the microwave.",3770,6,True,True,True,True,True,True,True,True,True,True,,a26e5cc65c3ec138565583687b63e7421a1981259a1d397ab899fb945a074543,66,float64,7,float64
coffee_table/case26,coffee_table,case26,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case26/demo.hdf5,RoboCerebra_trainset/coffee_table/case26/demo.hdf5,RoboCerebra_trainset/coffee_table/case26/case26.mp4,"Combine cream_cheese, butter, and new_salad_dressing from the coffee_table into the akita_black_bowl to prepare a mixed spread.",2112,8,True,True,True,True,True,True,True,True,True,True,,2c929784663492a9e7b3ffc7c2f5fa0cfcd8744baa68ee254c71ba6ca41cd90a,84,float64,7,float64
coffee_table/case27,coffee_table,case27,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case27/demo.hdf5,RoboCerebra_trainset/coffee_table/case27/demo.hdf5,RoboCerebra_trainset/coffee_table/case27/case27.mp4,"Transfer selected food items (cream_cheese, butter, macaroni_and_cheese) from the coffee_table into kitchen storage (white_cabinet) and an appliance (microwave) for organized placement.",2138,8,True,True,True,True,True,True,True,True,True,True,,94c7c832c437c843506f875c6015860bd186856434f7b696c5db5ebb71d3a4c7,79,float64,7,float64
coffee_table/case28,coffee_table,case28,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case28/demo.hdf5,RoboCerebra_trainset/coffee_table/case28/demo.hdf5,RoboCerebra_trainset/coffee_table/case28/case28.mp4,"Heat and flavor macaroni and cheese with tomato sauce in a microwave, and prepare a wine beverage in a red coffee mug placed on the coffee table.",5412,9,True,True,False,True,True,True,True,True,True,False,nonpositive_interval;frame_assignment_not_exact,e1f9f96791ab9b9700c1f56276d0d2b24bf961ad133db0d4419ce83f1acbe9d1,86,float64,7,float64
coffee_table/case29,coffee_table,case29,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case29/demo.hdf5,RoboCerebra_trainset/coffee_table/case29/demo.hdf5,RoboCerebra_trainset/coffee_table/case29/case29.mp4,"The task involves using a white bowl, tomato sauce, salad dressings, and a red coffee mug to prepare a mixed dressing setup by sequentially pouring contents into containers and relocating objects between a coffee table and a wooden shelf.",4176,11,True,True,True,True,True,True,True,True,True,True,,5e1f7230b1da61755bbf4e2114b13a66abb01fae3e9198c8ae527b25f14ae89c,97,float64,7,float64
coffee_table/case30,coffee_table,case30,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case30/demo.hdf5,RoboCerebra_trainset/coffee_table/case30/demo.hdf5,RoboCerebra_trainset/coffee_table/case30/case30.mp4,"The task involves combining wine from a wine_bottle into a porcelain_mug and mixing salad_dressing and ketchup in an akita_black_bowl, using objects from a coffee_table and short_cabinet to prepare a mixed dipping sauce.",4002,10,True,True,True,True,True,True,True,True,True,True,,d7d0af27381b014353836e39c0623effe5b08aa77c098d93c108e9bae2bbff3f,116,float64,7,float64
coffee_table/case31,coffee_table,case31,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case31/demo.hdf5,RoboCerebra_trainset/coffee_table/case31/demo.hdf5,RoboCerebra_trainset/coffee_table/case31/case31.mp4,"The task involves using the white_cabinet, chefmate_8_frypan, macaroni_and_cheese, butter, coffee_table, and plate to prepare and serve a creamy macaroni dish.",3197,10,True,True,True,True,True,True,True,True,True,True,,3d6188d449f03be5d3f9b12ec07c9a56a0eeaf66b6f1862ba9966bcd9aa7e58c,90,float64,7,float64
coffee_table/case32,coffee_table,case32,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case32/demo.hdf5,RoboCerebra_trainset/coffee_table/case32/demo.hdf5,RoboCerebra_trainset/coffee_table/case32/case32.mp4,"Prepare a mixed sauce by combining BBQ sauce and salad dressing in a frypan, and serve a dessert by placing chocolate pudding on a plate.",2536,8,True,True,True,True,True,True,True,True,True,True,,4cbcf680c154d161f5b00b674032867b1178d55a9ee8a3cbc033c27fb4378158,97,float64,7,float64
coffee_table/case33,coffee_table,case33,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case33/demo.hdf5,RoboCerebra_trainset/coffee_table/case33/demo.hdf5,RoboCerebra_trainset/coffee_table/case33/case33.mp4,"Organize butter, chocolate pudding, and macaroni and cheese from the coffee table into the white cabinet, akita black bowl, and chefmate 8"" frypan, respectively, using the white cabinet for storage and tableware for preparation.",2065,7,True,True,True,True,True,True,True,True,True,True,,9f34b0bb8e1f2c0bad8c4b2354c5fad1d7eff11ca99821ea7a48286751d73762,103,float64,7,float64
coffee_table/case34,coffee_table,case34,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case34/demo.hdf5,RoboCerebra_trainset/coffee_table/case34/demo.hdf5,RoboCerebra_trainset/coffee_table/case34/case34.mp4,"Prepare a heated mixture of tomato sauce and butter by retrieving the ingredients from the white cabinet and coffee table, combining them in the akita_black_bowl, and heating the bowl in the microwave.",3242,10,True,True,True,True,True,True,True,True,True,True,,6a9b03ea527acaf252a3f97d0ca8c4f4aa3ba7a99244f08674c91e15fed771ee,79,float64,7,float64
coffee_table/case35,coffee_table,case35,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case35/demo.hdf5,RoboCerebra_trainset/coffee_table/case35/demo.hdf5,RoboCerebra_trainset/coffee_table/case35/case35.mp4,"Assemble a layered culinary display by sequentially using a microwave, red coffee mug, glazed rim porcelain ramekin, moka pot, and wine bottle to pour and arrange milk, tomato sauce, and BBQ sauce from various locations onto a coffee table.",2813,11,True,True,False,True,True,True,True,True,True,False,nonpositive_interval;frame_assignment_not_exact,2f5fb4bdf346a697a7937ce65aec04a73cdc83f84bbbb8999297c6a4e1696bf5,125,float64,7,float64
coffee_table/case36,coffee_table,case36,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case36/demo.hdf5,RoboCerebra_trainset/coffee_table/case36/demo.hdf5,RoboCerebra_trainset/coffee_table/case36/case36.mp4,Prepare a snack by cooking butter in a frypan on a stove and topping popcorn in a bowl with ketchup.,5002,10,True,True,True,True,True,True,True,True,True,True,,217ccf23cfae74a1855e71767a2e90247cfc30a7c96a4597847bac6934efda8f,99,float64,7,float64
coffee_table/case37,coffee_table,case37,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case37/demo.hdf5,RoboCerebra_trainset/coffee_table/case37/demo.hdf5,RoboCerebra_trainset/coffee_table/case37/case37.mp4,"Create a serving scene by pouring wine from a wine_bottle on a coffee_table into a glazed_rim_porcelain_ramekin, placing alphabet_soup onto a bowl_drainer, and placing cream_cheese into an akita_black_bowl.",3287,8,True,True,True,True,True,True,True,True,True,True,,1af93ee7b7c497dd82342edd6c728053429a2dff15066c643b339acf0d18cbbf,103,float64,7,float64
coffee_table/case38,coffee_table,case38,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case38/demo.hdf5,RoboCerebra_trainset/coffee_table/case38/demo.hdf5,RoboCerebra_trainset/coffee_table/case38/case38.mp4,"Organize food and tableware by moving butter, wine bottle, and a porcelain ramekin to their designated locations, and operate the flat stove for cooking purposes.",2472,9,True,True,True,True,True,True,True,True,True,True,,2876ad3ac0b0e2387c36072654297c9489bc38e37a19540d0af9ca223267c704,79,float64,7,float64
coffee_table/case39,coffee_table,case39,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case39/demo.hdf5,RoboCerebra_trainset/coffee_table/case39/demo.hdf5,RoboCerebra_trainset/coffee_table/case39/case39.mp4,"The task involves organizing butter, akita_black_bowl, and white_yellow_mug from a coffee_table into their proper storage locations: the short_cabinet, bowl_drainer, and basket, respectively.",2823,7,True,True,True,True,True,True,True,True,True,True,,5dfd67500f4da05789825f7ca480e9ff1f78c83ca9b6cc8c8051e3f0148c88ce,90,float64,7,float64
coffee_table/case40,coffee_table,case40,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case40/demo.hdf5,RoboCerebra_trainset/coffee_table/case40/demo.hdf5,RoboCerebra_trainset/coffee_table/case40/case40.mp4,"Set up a meal assembly station by retrieving a chefmate_8_frypan from a wooden_cabinet and placing it at the assembly_station, transferring macaroni_and_cheese into the frypan, handling orange_juice and a red_coffee_mug from the coffee_table, and organizing them appropriately for use.",3248,9,True,True,True,True,True,True,True,True,True,True,,18b4830df21b4436d762c906d4d4322296cd1baddf47c17faf70490137d4dcd1,90,float64,7,float64
coffee_table/case41,coffee_table,case41,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case41/demo.hdf5,RoboCerebra_trainset/coffee_table/case41/demo.hdf5,RoboCerebra_trainset/coffee_table/case41/case41.mp4,"Organize and properly store kitchen items by placing chocolate pudding in the microwave, wine bottle on the wine rack, and cream cheese and porcelain mug into a white storage box after picking them up from the coffee table.",5723,8,True,True,True,True,True,True,True,True,True,True,,1eff9a1af5bbdfae2c1f1e38d74ff436227a4659149be507bc0234c0ae37aee4,86,float64,7,float64
coffee_table/case42,coffee_table,case42,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case42/demo.hdf5,RoboCerebra_trainset/coffee_table/case42/demo.hdf5,RoboCerebra_trainset/coffee_table/case42/case42.mp4,"Organize a condiment setup by using tableware to transfer and arrange new salad dressing, BBQ sauce, and wine from their containers into a porcelain mug, a glazed porcelain ramekin, and a frypan, respectively, placing the items back on the coffee table after use.",3477,10,True,True,True,True,True,True,True,True,True,True,,c4d0ac31d889ee902018b343cfba8481f5dd8ad03d66bb5748e9104678d11d10,116,float64,7,float64
coffee_table/case43,coffee_table,case43,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case43/demo.hdf5,RoboCerebra_trainset/coffee_table/case43/demo.hdf5,RoboCerebra_trainset/coffee_table/case43/case43.mp4,"Organize and prepare the kitchen by transferring items, including milk, popcorn, cookware, and a coffee mug, between storage areas (fridge, cabinet, basket) and the coffee table for proper placement and storage.",6709,11,True,True,True,True,True,True,True,True,True,True,,40657f66e69250967f018548d72fb2846ef601e773f1880b5eced72b69629854,118,float64,7,float64
coffee_table/case44,coffee_table,case44,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case44/demo.hdf5,RoboCerebra_trainset/coffee_table/case44/demo.hdf5,RoboCerebra_trainset/coffee_table/case44/case44.mp4,"The task involves using an akita_black_bowl, plate, cream_cheese, salad_dressing, and popcorn to set up a snack serving arrangement on the coffee_table and storing the popcorn in the white_cabinet.",3269,8,True,True,True,True,True,True,True,True,True,True,,31bf111160db6a0b33c40d4df1f669c7665efa92a2887725522c9b3f636b389b,103,float64,7,float64
coffee_table/case45,coffee_table,case45,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case45/demo.hdf5,RoboCerebra_trainset/coffee_table/case45/demo.hdf5,RoboCerebra_trainset/coffee_table/case45/case45.mp4,"The task involves organizing snacks and storage by opening the white_cabinet and wine_rack, placing cream_cheese into a white_bowl, and chocolate_pudding onto a plate, using a coffee_table as a workspace.",1722,5,True,True,True,True,True,True,True,True,True,True,,fb648c984f4c6793942db3cec2c0802d9fcc6349fb2436fc903a15f52eb69779,90,float64,7,float64
coffee_table/case46,coffee_table,case46,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case46/demo.hdf5,RoboCerebra_trainset/coffee_table/case46/demo.hdf5,RoboCerebra_trainset/coffee_table/case46/case46.mp4,"This task involves using a robotic arm to locate, grasp, lift, move, and place various objects (chefmate_8_frypan, akita_black_bowl, wine_bottle, and porcelain_mug) from the coffee_table to their respective target locations (rack, wooden_two_layer_shelf, wooden_tray, and placement area next to the wooden_tray) for the purpose of organized manipulation and transfer.",2865,9,True,True,True,True,True,True,True,True,True,True,,d7e5e79ce937ef3a72d50e5e1e2ff0b77c54450fc2e2f1852a92b561b21d679a,110,float64,7,float64
coffee_table/case47,coffee_table,case47,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case47/demo.hdf5,RoboCerebra_trainset/coffee_table/case47/demo.hdf5,RoboCerebra_trainset/coffee_table/case47/case47.mp4,"Prepare a microwaved macaroni dish by heating macaroni_and_cheese in the microwave, transferring it to a white_bowl, and enhancing it with cream_cheese sourced from the coffee_table.",4833,9,True,True,True,True,True,True,True,True,True,True,,514a8815a81d681387ab38f080ab2b5b85d5d02abfc0a47d464b867620a899f8,73,float64,7,float64
